"user","country","ms_feat","app_use"
"c80766ef","UK","1",58
"0918f449","UK","1",84
"edec6e53","UK","0",61
"3e55e715","UK","0",98
"e9421209","UK","0",62
"3a718d5d","UK","1",64
"e37d1543","UK","1",58
"f5fef42d","UK","1",55
"ae852d03","UK","0",100
"690d8d22","UK","0",73
"6de22ace","UK","1",65
"619e04d3","UK","0",78
"a6268caa","UK","1",94
"af814bfc","UK","1",63
"baf2be81","UK","0",119
"1cb6e578","UK","0",63
"d69502d2","UK","0",80
"3c5793da","UK","1",70
"e4ad39e6","UK","0",65
"c7da4654","UK","1",74
"b3eb81d7","UK","1",69
"2c9cc159","UK","1",72
"7cb4f4ac","UK","0",71
"44339ad8","UK","0",73
"8820f334","UK","0",58
"4c7f4fe0","UK","1",87
"aa30867c","UK","0",72
"f62b510c","UK","0",70
"9faaae0a","UK","0",79
"b0ceb4b9","UK","1",58
"ab430dce","UK","0",86
"6fe0740a","UK","1",59
"0ab20181","UK","0",102
"a19081c4","UK","0",NA
"ce522a07","UK","0",86
"129c835a","UK","0",80
"862c9db7","UK","0",79
"34d8c3bb","UK","0",77
"d407d37b","UK","0",80
"da12ee92","UK","0",NA
"93f2db3c","UK","1",74
"a202c585","UK","0",74
"6f5c2d8e","UK","0",90
"cfc116ee","UK","1",78
"213f7d30","UK","0",72
"4146fc5c","UK","0",60
"5e985fd1","UK","0",78
"c2cb0cec","UK","1",52
"bb6fdd91","UK","1",60
"2c7738f3","UK","1",80
"43cbe229","UK","0",52
"99476f9b","UK","1",63
"3a224a83","UK","1",76
"1fc036d5","UK","0",60
"79672d55","UK","0",71
"fadea7da","UK","1",NA
"eb7e57dd","UK","1",90
"5730427d","UK","1",65
"ce5ef73b","UK","0",75
"7ff114ad","UK","1",70
"3f2a04a4","UK","0",90
"18720123","UK","0",87
"cfb68377","UK","1",61
"1074ba2b","UK","1",56
"17f0d299","UK","0",78
"2a562c64","UK","0",71
"c07f4ecc","UK","1",79
"c1465f63","UK","0",87
"43f49a24","UK","0",68
"5308cccf","UK","0",73
"57ab3343","UK","0",95
"1801e091","UK","1",57
"a5603186","UK","1",92
"7acc8447","UK","0",84
"9f1ff0fa","UK","0",63
"b117c8f5","UK","1",89
"de9c9f1a","UK","0",65
"2ad1fcff","UK","0",70
"6cc9a532","UK","0",81
"b86bb1a0","UK","1",88
"b5f20555","UK","1",71
"e7e44682","UK","0",79
"b8b6aa95","UK","1",82
"a962395d","UK","1",54
"0029cf33","UK","1",72
"dc793033","UK","0",66
"9800e240","UK","1",80
"0e773697","UK","0",96
"17f4d61c","UK","0",NA
"54a809f3","UK","1",52
"d2aa180b","UK","1",62
"d5a562fd","UK","0",80
"3f22e783","UK","0",76
"d60140e0","UK","1",60
"0e598685","UK","0",94
"11301fd6","UK","0",81
"aae7c5be","UK","1",62
"531d27f8","UK","1",55
"25090988","UK","0",NA
"8ae647cb","UK","1",69
"38838578","UK","1",63
"8dd1a433","UK","0",NA
"5a08aff8","UK","1",61
"447047c1","UK","0",85
"67df7792","UK","0",73
"3d88bfd0","UK","1",58
"91a9e503","UK","0",89
"34d5ad39","UK","1",104
"eb45f9d1","UK","1",54
"a30777f9","UK","0",70
"c3f11cd9","UK","0",76
"5c13ea29","UK","1",74
"12e576e2","UK","0",79
"e04246a8","UK","1",60
"bd5ab151","UK","0",73
"9e702bb3","UK","1",55
"dc63987c","UK","0",106
"2ebf122d","UK","0",71
"233800e6","UK","0",72
"a1339ebb","UK","0",77
"970d96d9","UK","1",61
"18f68e54","UK","0",67
"f0ce8716","UK","0",74
"599987e4","UK","1",69
"d9c6c18c","UK","1",78
"4f04d309","UK","0",43
"7aaac0b1","UK","1",95
"0fc9b35e","UK","1",73
"18c0055e","UK","0",93
"d74d6e0c","UK","0",63
"cad07460","UK","1",46
"967120e3","UK","1",77
"99d83efa","UK","0",90
"fc216571","UK","0",87
"ad93dedb","UK","0",88
"a5159466","UK","1",82
"6e3bb310","UK","1",76
"fea73ddc","UK","1",62
"0f658c59","UK","1",59
"4df8af46","UK","0",76
"b90efe5d","UK","0",73
"8d78fbb1","UK","1",71
"d47a32d8","UK","0",70
"7aab3ccc","UK","0",NA
"eb249e2a","UK","0",81
"4749f01f","UK","0",90
"55b78b30","UK","0",84
"d515cbe4","UK","0",66
"862713e2","UK","1",59
"e30db06b","UK","0",85
"254810a5","UK","0",76
"57bc2494","UK","1",NA
"af6398c9","UK","0",89
"3a2d8dad","UK","0",92
"ae28912d","UK","0",74
"aca67f52","UK","1",51
"8cd86d9a","UK","0",48
"4c4f152f","UK","0",47
"0a0f5770","UK","0",45
"5a6ca044","UK","1",67
"31f9c953","UK","1",80
"41eecd27","UK","1",67
"c6e2428c","UK","1",59
"9f1dc1c1","UK","0",66
"d2d59fa1","UK","0",74
"d44140af","UK","1",64
"9ee8e9d9","UK","0",69
"3474cfe9","UK","0",85
"09b7ad8f","UK","0",101
"767251fc","UK","0",92
"f51861a0","UK","0",75
"c7aa0173","UK","0",77
"829c9adb","UK","1",70
"5cf06302","UK","0",80
"24d71b80","UK","1",54
"97102745","UK","0",92
"36982ba0","UK","0",79
"9441167e","UK","1",71
"40a8afba","UK","1",66
"d96fbed2","UK","1",60
"ae4928c2","UK","0",104
"9a37f379","UK","1",67
"3528aae2","UK","1",63
"a8c679a1","UK","0",80
"26abc1db","UK","1",67
"ee485247","UK","1",75
"be3d4cbd","UK","1",56
"7eadf8cc","UK","0",64
"a3d80623","UK","0",80
"1811c655","UK","1",54
"2bb471a7","UK","0",53
"21199b82","UK","1",69
"ceb1a2e5","UK","0",86
"18f68068","UK","1",57
"35b97200","UK","0",77
"7055a1ba","UK","0",71
"9d5c8797","UK","0",75
"4d59069b","UK","1",82
"12d392b8","UK","0",60
"9abec1e6","UK","0",54
"070dce18","UK","0",81
"45397c7e","UK","1",54
"9a42bce5","UK","1",81
"674f3eff","UK","0",70
"d61f0b71","UK","0",80
"3066ca98","UK","0",64
"d4595df2","UK","0",73
"c63b7141","UK","1",88
"a1513d5e","UK","0",74
"1508f4cc","UK","0",98
"072c7617","UK","1",48
"2e460003","UK","0",90
"b8e2310e","UK","0",98
"2e18afb2","UK","0",74
"e5891fa6","UK","1",51
"26f914ef","UK","0",89
"4529dfb3","UK","1",55
"e8ce1e48","UK","0",80
"d3b1e110","UK","1",46
"29a1c728","UK","0",81
"741e2910","UK","0",94
"ff298d64","UK","0",104
"5f13e0a4","UK","1",58
"2e707090","UK","1",NA
"2b98ed61","UK","1",65
"0c1c91ae","UK","1",74
"62bc6a8a","UK","0",119
"7c564c32","UK","0",94
"1468488e","UK","1",56
"063984f8","UK","1",69
"d5a10793","UK","1",65
"80275596","UK","1",103
"c4f8b7df","UK","1",64
"1c7e7950","UK","1",71
"d5760fae","UK","0",76
"92c1a879","UK","1",77
"2d0edc75","UK","0",79
"27a7ccdf","UK","0",77
"7b0c8fbb","UK","0",79
"256ed668","UK","1",53
"fd9690e7","UK","0",NA
"68b48a3e","UK","0",83
"189658a2","UK","1",73
"2cd2333a","UK","0",80
"7d9edafe","UK","1",86
"4d837997","UK","1",65
"99d93664","UK","0",80
"09640371","UK","1",45
"fdd73651","UK","1",54
"3230fa81","UK","1",39
"1da09002","UK","1",75
"b2b14dd4","UK","0",75
"d65d0382","UK","0",62
"0ea99bd9","UK","0",86
"21bd81a3","UK","0",90
"e5f07e08","UK","0",88
"38f0fde6","UK","1",67
"1ed3a9ff","UK","0",69
"d6e3dea2","UK","1",41
"c7f19743","UK","0",73
"17a34060","UK","0",70
"0b9e54e4","UK","1",73
"a50cf19b","UK","0",83
"de805331","UK","1",NA
"c2832f6e","UK","0",69
"fc502525","UK","0",80
"77fa1648","UK","0",NA
"025a355a","UK","1",92
"af43b27e","UK","0",72
"f157c080","UK","0",75
"421bfd0f","UK","0",92
"f3f22ba7","UK","0",81
"4380af27","UK","0",NA
"46a768a9","UK","1",71
"509f8aa0","UK","0",NA
"08144741","UK","1",65
"0493a7e8","UK","1",64
"f658263b","UK","1",71
"d2258ed3","UK","1",45
"df4a7181","UK","1",75
"d66c27f0","UK","0",79
"88fad2c9","UK","0",79
"5a41e2e8","UK","0",64
"33565a33","UK","1",52
"383fee03","UK","0",73
"c2704c35","UK","0",84
"60f5f72c","UK","0",66
"4a6e0697","UK","0",65
"ea5e018f","UK","0",69
"b1396636","UK","1",71
"5793a760","UK","0",74
"1a9ed8f8","UK","0",83
"a8a3c648","UK","1",91
"12c8371f","UK","1",57
"9e696e25","UK","1",33
"11c0496a","UK","0",59
"924353c1","UK","1",77
"58ad42f7","UK","0",76
"54091cca","UK","1",50
"d2a7ce6d","UK","1",59
"f0eba48c","UK","1",73
"403cdd92","UK","1",70
"5315f9e7","UK","0",68
"2ace5d6f","UK","1",63
"86e6ea0b","UK","1",74
"e64c08aa","UK","0",75
"b8445549","UK","0",88
"54ca6e53","UK","1",60
"a46e031b","UK","0",72
"e6d55b31","UK","0",87
"48dc7cc1","UK","0",82
"5f733888","UK","1",59
"1920ed38","UK","1",62
"f5272f3a","UK","1",74
"6e90a6eb","UK","1",79
"56a12dc3","UK","1",69
"9b7eee9d","UK","1",82
"74624340","UK","1",77
"b5322f82","UK","1",75
"151a5be7","UK","1",65
"24ab1a4b","UK","1",71
"f331d2a5","UK","1",82
"714d4092","UK","1",83
"b9c23221","UK","0",NA
"3eb55305","UK","0",80
"85a6ed8f","UK","1",58
"8f4c6bec","UK","1",84
"f0ddbc86","UK","1",70
"2a0b4bfc","UK","0",83
"c43a5b20","UK","0",73
"0f96cfd0","UK","0",80
"082c472d","UK","0",78
"db1634bc","UK","1",58
"e2f8be5c","UK","1",96
"b53f12f8","UK","0",81
"ba536e2a","UK","1",86
"472b6c12","UK","0",80
"04dc9536","UK","0",65
"5bb38020","UK","0",70
"033e90fe","UK","0",NA
"62221523","UK","1",NA
"5f8586af","UK","0",NA
"3c606e5a","UK","0",99
"72df882d","UK","0",107
"e75aeb2d","UK","0",90
"107c4632","UK","1",73
"bbcd6924","UK","1",68
"91bef44b","UK","1",67
"cceb5b6e","UK","1",88
"b7e321b2","UK","1",73
"d2209640","UK","0",73
"2ba0e33e","UK","1",72
"32e9c84f","UK","1",62
"5aa07c8e","UK","1",80
"cd6cf19b","UK","0",87
"d98a3ec3","UK","0",95
"9c4cd56d","UK","0",69
"f66ab042","UK","0",67
"92940309","UK","0",61
"3c543871","UK","0",NA
"f1f09d04","UK","1",75
"21f5335b","UK","1",NA
"1930268b","UK","0",79
"890708ef","UK","0",NA
"fd58c47b","UK","0",69
"241694c4","UK","1",84
"1d556b4f","UK","0",58
"665bc3d1","UK","0",76
"12a1b6e0","UK","0",59
"8e230e14","UK","1",68
"26f556cb","UK","1",75
"93b3fa95","UK","1",83
"71cffe61","UK","0",78
"4e7aa277","UK","0",44
"d85c2a39","UK","0",50
"bb7bae7d","UK","1",63
"40f05e78","UK","0",103
"7b9c2076","UK","0",76
"9528640d","UK","0",82
"1a380a82","UK","1",64
"2188c5b9","UK","0",63
"a1e2ec9f","UK","0",77
"9d1ca935","UK","0",81
"504148ab","UK","0",NA
"0c73ffd5","UK","0",74
"9beb09e4","UK","1",56
"5453631d","UK","0",76
"8fc32ba3","UK","1",62
"a1435714","UK","1",82
"0b479a47","UK","0",89
"e2dbe862","UK","1",79
"28df2bfb","UK","0",92
"bcd59afb","UK","0",88
"2a0bc03d","UK","0",64
"28e8c648","UK","0",82
"c8e5a606","UK","0",59
"2dd63ee4","UK","0",74
"4c8113d6","UK","1",72
"0df49c34","UK","1",75
"e951c7cd","UK","1",57
"c93355cd","UK","1",67
"0eef2fc3","UK","1",52
"412a063c","UK","0",70
"49c84a78","UK","0",60
"05768925","UK","0",67
"81792b58","UK","1",70
"6dbb70e4","UK","1",68
"cd5507c2","UK","0",NA
"3efd05e2","UK","0",NA
"192ba70f","UK","1",70
"053b644c","UK","0",78
"24f8d7ea","UK","0",82
"09e73c5b","UK","1",70
"e15afebb","UK","1",65
"e2213734","UK","1",69
"57c13f5d","UK","1",87
"5c1e5476","UK","0",72
"d45bc0a8","UK","1",60
"70e2dda3","UK","1",80
"d786c34c","UK","0",82
"3ab5b016","UK","1",NA
"173ba87c","UK","0",99
"8b0613fc","UK","1",85
"4e1c125d","UK","1",75
"5eb46080","UK","1",NA
"c3bbb690","UK","0",71
"514ca15c","UK","1",37
"09c9a608","UK","0",74
"bf43bba5","UK","1",62
"0374621d","UK","0",78
"b50661c4","UK","0",87
"000730f2","UK","0",66
"89bb331f","UK","0",68
"f1c9a491","UK","0",56
"3790bd7f","UK","0",74
"1c14721a","UK","1",86
"52c7f503","UK","0",65
"8f4ee599","UK","0",90
"27108a9d","UK","1",86
"8a51f62f","UK","0",82
"203bffed","UK","1",68
"3becbe13","UK","0",69
"ac8e689e","UK","1",71
"afd8450f","UK","0",83
"e8ec88a6","UK","0",79
"bc26cbef","UK","0",72
"02bcc263","UK","1",72
"3d6af938","UK","1",76
"39f6cf43","UK","0",65
"627cf605","UK","1",84
"3047b664","UK","0",79
"eabba132","UK","1",75
"b4dd9f76","UK","1",NA
"cbb58b0b","UK","0",75
"8101b244","UK","0",71
"38281263","UK","1",94
"19c5e413","UK","0",67
"5518cf5a","UK","0",63
"cf2f843a","UK","1",79
"bc7b3a30","UK","0",88
"05fccc74","UK","0",88
"494696a3","UK","0",63
"4441c3c1","UK","0",65
"af7ad3db","UK","1",78
"3ed3cf81","UK","0",75
"9776e521","UK","1",78
"5788998a","UK","0",99
"a7a9885d","UK","0",69
"67ade638","UK","0",86
"5b3cdcad","UK","1",75
"8037f6a6","UK","1",56
"cbb2dc90","UK","1",44
"5fee5c8c","UK","1",78
"c117caf6","UK","0",NA
"a6e6412a","UK","0",66
"abe62692","UK","1",74
"b29fce94","UK","1",60
"f27fd752","UK","1",75
"580c15a2","UK","1",54
"50ec6048","UK","1",78
"de478686","UK","1",80
"bb2973b0","UK","0",81
"65eab9aa","UK","1",57
"efea9ee7","UK","0",92
"975ab6f9","UK","1",85
"c9aabd2d","UK","1",42
"5765c3af","UK","0",43
"db1aea8f","UK","1",77
"a1913e52","UK","1",64
"d968031d","UK","1",83
"9227c939","UK","1",91
"766e20ba","UK","0",68
"6f05658d","UK","0",NA
"4c8207a1","UK","1",56
"90f0d55e","UK","1",77
"7b03c7ce","UK","1",71
"de29ecb3","UK","1",55
"33577fa5","UK","0",77
"32ee3ac7","UK","0",100
"7f6a032c","UK","1",70
"2483c117","UK","0",78
"9dccbba0","UK","0",84
"464d49dc","UK","0",60
"5496bb11","UK","1",41
"c55f3cdf","UK","0",90
"3e6a4a55","UK","1",71
"d48bd734","UK","1",62
"dc3e798c","UK","1",56
"c03dcc66","UK","0",99
"4aa968f9","UK","1",79
"0a8778a8","UK","0",97
"595f2bc9","UK","0",67
"06c314a5","UK","1",59
"d16f82f1","UK","0",84
"8162b3d1","UK","1",61
"11c71d6e","UK","0",71
"55cd7036","UK","0",85
"76c9ed16","UK","1",48
"dfdab36b","UK","1",62
"40fd17a0","UK","1",73
"a137fb83","UK","0",NA
"5043f926","UK","1",83
"e589011a","UK","0",72
"2387f2e7","UK","0",74
"d211f4eb","UK","0",87
"0c0c1962","UK","0",38
"2e24b97f","UK","0",60
"6d4bf5c2","UK","1",40
"501b0ff7","UK","0",NA
"00031bae","UK","0",93
"f6509f6b","UK","1",80
"c0d6dc77","UK","1",79
"a9562f82","UK","0",71
"312579bf","UK","0",48
"71483ffc","UK","0",84
"ce123e8d","UK","0",84
"ae4fee06","UK","0",84
"80d24940","UK","0",85
"e0837b28","UK","1",73
"5986050c","UK","0",74
"29073753","UK","1",70
"b2734d9c","UK","0",64
"943140b7","UK","0",80
"9f237c63","UK","0",84
"5eeba818","UK","1",76
"eaec5a4c","UK","1",95
"ecc5480c","UK","1",72
"cdd63ec3","UK","1",48
"b1ade0cf","UK","1",72
"e37f7730","UK","0",NA
"afacc1a1","UK","0",86
"2d2e8c22","UK","0",64
"19f1e406","UK","1",67
"9bf00a7a","UK","0",75
"d7db6cb1","UK","0",57
"f211c6bc","UK","0",83
"93db6bdd","UK","1",76
"ec2574a6","UK","0",81
"49a9af22","UK","1",78
"1ba78870","UK","0",93
"554e0692","UK","0",82
"7c804e0f","UK","1",83
"6c8e3ca9","UK","1",56
"6649f5c6","UK","1",65
"454a7560","UK","1",73
"e3cfa3f4","UK","1",60
"bac4d09f","UK","0",76
"273312cb","UK","0",106
"6ae3bd2a","UK","1",74
"322ccd13","UK","0",74
"a78e6340","UK","1",59
"800a9003","UK","1",62
"c739980b","UK","1",49
"921d6221","UK","1",NA
"79d188ad","UK","1",67
"1fd4d9a5","UK","1",76
"8700f2e4","UK","0",67
"20d07d22","UK","1",NA
"73b5202b","UK","1",72
"b84e9631","UK","0",94
"57af671b","UK","0",84
"a43cf513","UK","0",82
"6ff79ab5","UK","0",69
"1b786b86","UK","1",79
"c02ac761","UK","0",66
"0d22aba6","UK","0",74
"4fc40673","UK","1",69
"d742e359","UK","1",57
"41bc18f1","UK","1",52
"73f67cac","UK","1",53
"d5af4492","UK","0",49
"fe3cb917","UK","0",NA
"63f60168","UK","0",79
"8e9f0584","UK","1",64
"ebfea34f","UK","1",79
"e311dc00","UK","1",86
"9bde4034","UK","1",75
"6b738eb4","UK","0",86
"68de9a47","UK","0",93
"d45da5d1","UK","0",97
"0abf7935","UK","1",78
"f315b00f","UK","0",62
"0ae92604","UK","0",79
"6e886a48","UK","0",73
"06c60b55","UK","0",71
"6caf22ec","UK","0",NA
"a83812df","UK","1",68
"e84d2997","UK","0",73
"905a9744","UK","0",74
"81126c8d","UK","1",55
"0a827f78","UK","1",49
"b40d0e78","UK","1",62
"81da4f0e","UK","0",69
"411ba870","UK","0",82
"66d2feee","UK","0",79
"593c38ad","UK","0",89
"f2803e82","UK","1",66
"33bf1709","UK","1",65
"8fd350ef","UK","1",78
"39f0d106","UK","0",66
"bfef2ae8","UK","0",73
"e2ebcad5","UK","1",55
"0f63252a","UK","1",84
"b3046300","UK","1",56
"f8758f20","UK","0",81
"86721849","UK","0",81
"82f0d261","UK","1",59
"6f94690a","UK","0",94
"b730c711","UK","1",45
"3b1381fc","UK","0",62
"a1c936d4","UK","0",88
"8922718b","UK","1",72
"de99a9e3","UK","0",71
"9589c009","UK","1",67
"bbfeb2a3","UK","0",83
"a46e7f6d","UK","1",53
"82fb769c","UK","0",67
"6cc5c7e2","UK","0",73
"d6b59c42","UK","0",NA
"6e2f5d9b","UK","0",83
"797d9fba","UK","0",83
"8481761e","UK","0",93
"8784249c","UK","0",67
"898e1534","UK","0",94
"8875ac15","UK","0",83
"952ba64e","UK","0",66
"e050eef8","UK","1",74
"12c8a798","UK","0",90
"b74cfb69","UK","1",46
"2ac601bf","UK","0",NA
"57bae81b","UK","1",81
"e21db55d","UK","1",49
"b19ea5e1","UK","1",64
"9b9d5b31","UK","1",64
"6fd46d22","Germany","1",104
"a4bcefd2","Germany","0",66
"3c509c54","Germany","1",81
"ea2b8df6","Germany","0",NA
"084fc6b2","Germany","1",76
"0cd21024","Germany","0",NA
"3dc8ebf5","Germany","0",54
"544405bc","Germany","0",71
"1be6fb54","Germany","1",82
"4e3b6b05","Germany","1",92
"0281d7e4","Germany","0",58
"d490ee4d","Germany","0",63
"68a6fc53","Germany","1",104
"79a0cd3f","Germany","0",44
"0f229457","Germany","0",60
"621732a3","Germany","0",NA
"50323268","Germany","1",84
"60b67f75","Germany","1",70
"a118833d","Germany","0",47
"039a1ab6","Germany","0",47
"22728086","Germany","1",96
"a643b968","Germany","1",82
"d7baa336","Germany","0",32
"449d318b","Germany","0",77
"a7233699","Germany","0",65
"a301486b","Germany","1",64
"d25e5cf7","Germany","1",73
"cafe161b","Germany","0",63
"79f6439c","Germany","1",92
"3adc18bb","Germany","1",72
"ff73e16d","Germany","1",82
"ebee1805","Germany","0",65
"f5290f42","Germany","0",89
"a0aa5ccb","Germany","1",73
"2714fffd","Germany","1",NA
"6611476e","Germany","1",98
"a6856396","Germany","0",NA
"76fe61f7","Germany","0",NA
"51281a97","Germany","0",84
"f5d98c91","Germany","0",62
"90fa6f5f","Germany","0",68
"de50630d","Germany","1",66
"b24bfd33","Germany","1",76
"09bb79bc","Germany","1",87
"f0977de9","Germany","1",83
"53da9df3","Germany","0",59
"425f27be","Germany","0",62
"fd856535","Germany","1",59
"ec59ffee","Germany","0",57
"1ecc66fc","Germany","0",59
"de7034e0","Germany","0",63
"1248226b","Germany","1",86
"0d01918e","Germany","1",99
"ca5458b8","Germany","0",51
"d21406f0","Germany","1",70
"9ca881c1","Germany","0",64
"50346de5","Germany","1",68
"166931a2","Germany","0",65
"cdd74f98","Germany","0",66
"cc4564b5","Germany","1",72
"42a77ea8","Germany","0",75
"8b2c87d1","Germany","1",102
"469eba83","Germany","0",47
"4e936b2b","Germany","0",74
"e384a21e","Germany","0",50
"1b0419d8","Germany","1",70
"f856c6ff","Germany","0",71
"5596e4dd","Germany","0",52
"e3d2600e","Germany","0",66
"16fdcfd3","Germany","1",100
"130053c3","Germany","0",66
"0baed91c","Germany","0",66
"db2728ce","Germany","1",95
"81c98845","Germany","0",51
"0ef2a409","Germany","0",66
"90b6903f","Germany","0",75
"f4535f76","Germany","0",73
"da5e627f","Germany","1",68
"b795b3a1","Germany","0",67
"b586fea1","Germany","0",62
"b821e521","Germany","0",73
"fdc3047c","Germany","1",93
"b75eaad2","Germany","0",NA
"a2478242","Germany","1",93
"2a2ebdb5","Germany","0",56
"734352c7","Germany","0",64
"7f3d590e","Germany","0",51
"812eaf9d","Germany","0",74
"d5a62c99","Germany","0",58
"e3a73ac0","Germany","1",69
"751a88e0","Germany","0",63
"fd55ac11","Germany","1",61
"5b3bb36e","Germany","1",73
"2e094c51","Germany","0",52
"25710183","Germany","0",23
"8e76f7b5","Germany","0",61
"33a92bae","Germany","0",62
"012c9b06","Germany","1",84
"7c9ce9cb","Germany","1",95
"dc016f08","Germany","0",56
"3cefe0b0","Germany","1",76
"ed45bbce","Germany","0",36
"710fa08f","Germany","0",53
"97174407","Germany","1",82
"f41fe230","Germany","0",67
"73c0adad","Germany","1",70
"a33dd4b8","Germany","1",82
"6e6581c8","Germany","0",50
"7c5ac550","Germany","0",86
"03efcc7f","Germany","1",67
"9612d733","Germany","0",66
"837b3f5a","Germany","0",79
"e9c90a80","Germany","1",88
"e211c3b5","Germany","1",60
"8266f1e5","Germany","0",63
"9bd90dcd","Germany","1",95
"4b542f14","Germany","1",95
"86a49c1c","Germany","1",73
"8c347a50","Germany","0",45
"e83b19c6","Germany","0",NA
"4f9387c3","Germany","1",NA
"1fb9d5e2","Germany","0",61
"4bfa258b","Germany","1",76
"619a288d","Germany","0",72
"ba38d4ba","Germany","1",103
"892e9491","Germany","1",68
"d0f42590","Germany","0",64
"95724640","Germany","1",67
"d9e231af","Germany","0",56
"190c5fb1","Germany","1",89
"5a5f1f3e","Germany","0",60
"debeb25b","Germany","1",81
"088e3fec","Germany","1",90
"730df975","Germany","0",50
"0a8ee6e2","Germany","1",69
"446b757b","Germany","1",65
"488da0c7","Germany","1",83
"c19bde57","Germany","0",66
"3b11a382","Germany","0",47
"92e15e4e","Germany","1",81
"1dbe81b8","Germany","1",98
"151bafa9","Germany","1",93
"90edd537","Germany","0",79
"e717dc9e","Germany","1",73
"596ed223","Germany","0",46
"bc13b069","Germany","0",52
"80fc4316","Germany","0",64
"55f9459d","Germany","0",76
"7dd216dd","Germany","1",103
"ee46ab30","Germany","1",99
"6e99a3af","Germany","0",86
"55229d98","Germany","1",86
"74c5381d","Germany","1",69
"3bcacbf8","Germany","0",53
"672dde3b","Germany","1",73
"9428962b","Germany","1",73
"9e2bfdfe","Germany","1",74
"71980857","Germany","0",69
"6d080a72","Germany","0",64
"b4132701","Germany","1",65
"49866bfb","Germany","1",77
"3d899291","Germany","1",75
"082b53da","Germany","1",96
"fa11cd3a","Germany","1",86
"6bced15f","Germany","1",84
"e775ef43","Germany","0",54
"a9494b1c","Germany","0",58
"3c5d1dc7","Germany","1",87
"00692e0c","Germany","1",NA
"b3927dbe","Germany","0",35
"9defd217","Germany","0",62
"2ea6002f","Germany","0",80
"ed41c5bb","Germany","0",73
"358c1ba7","Germany","1",82
"b48ae575","Germany","0",38
"ca2860e1","Germany","0",48
"8ceece87","Germany","1",85
"887eaad3","Germany","0",NA
"690a0542","Germany","0",60
"ce3e9f7b","Germany","0",70
"8c3e0f25","Germany","0",54
"95b38ebb","Germany","1",76
"14a39b60","Germany","0",64
"bcf1cfe7","Germany","1",84
"7cc28230","Germany","1",83
"2672fba8","Germany","1",67
"a9f6999d","Germany","1",97
"29c60f0a","Germany","0",82
"a43c77a9","Germany","1",73
"9a93fd3b","Germany","0",22
"c08ed09e","Germany","1",80
"5fc42d57","Germany","1",72
"033a838c","Germany","1",NA
"439175a5","Germany","1",NA
"600ee9d4","Germany","1",101
"6fcba103","Germany","1",69
"9a009db1","Germany","0",66
"69297356","Germany","0",69
"6c3c662c","Germany","0",50
"928b2c12","Germany","1",62
"f752a6ca","Germany","1",90
"ef9739d5","Germany","1",63
"3cf3d04b","Germany","1",95
"a8d0a1c4","Germany","0",65
"4b4acbfd","Germany","1",101
"c12ff8ec","Germany","1",120
"bab5d20d","Germany","0",76
